No,학교명,본분교명,학교종류,학교유형,설립유형,지역명,"입학정원(학부)
(2025,명)","졸업생수(학부)
(2025,명)","전임교원수(학부+대학원)
(2025,명)","재학생(학부)
(2025,명)","신입생 경쟁률(학부)
(2025,:1)","신입생 충원율(학부)
(2025,%)","취업률(학부)
(2024,%)","외국인 학생 수(학부)
(2025,명)","전임교원 1인당 학생 수(학생정원기준)(학부+대학원)
(2025,명)","전임교원 확보율(학생정원기준)(학부+대학원)
(2025,%)","전임 교원 확보율(재학생 기준)(학부+대학원)
(2025,%)","전임교원 강의 담당 비율(학부)
(2025,%)","학생 1인당 연간 장학금(학부)
(2025,원)","연평균 등록금(학부)
(2025,천원)","학생 1인당 교육비(학부+대학원)
(2025,천원)","기숙사 수용율(학부+대학원)
(2024,%)","학생 1인당 도서 자료 수(학부+대학원)
(2024,권)"
60,고려사이버대학교,본교,대학,사이버대학(대학),사립,서울,"2,449","2,673",45,"10,301",1.8,92.4,77.1,172,169.29,115.38,84.91,51.5,"1,153,852.3","2,571.2","2,825.8",0.0,5.2
61,고신대학교,본교,대학,대학교,사립,부산,753,645,252,"3,263",6.8,98.5,72.6,79,20.12,96.18,117.76,78.0,"4,193,417.4","7,057.2","16,445.0",48.2,113.8
62,공주교육대학교,본교,대학,교육대학,국립,충남,354,293,86,"1,365",5.0,100.0,57.9,0,26.0,93.48,101.18,68.0,"2,450,583.6","3,600.0","15,033.2",35.6,184.2
63,광신대학교,본교,대학,대학교,사립,광주,105,122,50,436,1.4,100.0,64.3,115,26.98,89.29,98.04,58.5,"5,156,540.8","6,176.5","10,298.7",22.1,169.5
64,광양보건대학교,본교,전문대학,전문대학,사립,전남,373,32,18,114,0.5,11.5,68.3,0,55.89,36.0,300.0,71.5,"3,014,035.1","5,884.8","27,013.7",0.0,348.9
65,광운대학교,본교,대학,대학교,사립,서울,"1,823","1,970",307,"8,414",14.3,99.7,65.3,"1,009",29.68,72.58,62.15,63.7,"3,508,178.3","8,330.8","16,682.0",12.3,84.5
66,광주가톨릭대학교,본교,대학,대학교,사립,전남,40,17,15,61,0.6,50.0,0.0,1,19.67,125.0,300.0,77.7,0.0,0.0,"28,983.5",232.3,"2,510.4"
67,광주과학기술원,본교,대학,대학교,특별법법인,광주,200,175,194,920,18.3,111.0,58.8,69,13.4,148.09,130.2,56.3,"6,860,449.0","2,060.0","88,585.7",91.4,93.4
68,광주교육대학교,본교,대학,교육대학,국립,광주,326,300,72,"1,257",4.7,99.7,60.3,0,33.28,71.29,87.8,64.1,"4,473,380.8","3,795.3","18,494.2",33.4,166.6
69,광주대학교,본교,대학,대학교,사립,광주,"1,363","1,343",200,"4,900",5.7,90.6,64.4,692,30.65,72.46,77.82,76.2,"4,770,899.3","6,919.4","14,490.5",26.6,110.4
70,광주보건대학교,본교,전문대학,전문대학,사립,광주,"1,105","1,130",102,"3,546",4.4,93.4,75.0,3,32.25,63.35,58.96,55.9,"3,644,644.7","5,450.5","11,158.3",14.4,58.0
71,광주여자대학교,본교,대학,대학교,사립,광주,912,857,123,"3,239",4.3,97.4,61.3,533,31.79,67.96,73.65,73.4,"4,915,027.3","6,600.8","12,413.9",32.9,84.1
72,구미대학교,본교,전문대학,전문대학,사립,경북,"1,351","2,003",148,"6,249",3.8,100.0,78.7,182,23.99,84.57,50.0,50.3,"5,722,930.7","6,180.3","13,369.3",24.5,41.0
73,구세군사관학교,본교,전문대학,각종학교(전문),사립,경기,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,국립강릉원주대학교,제2캠퍼스,대학,대학교,국립,강원,489,492,94,"1,958",7.4,99.8,62.6,8,24.97,83.49,88.35,81.4,"3,640,645.7","4,274.0",0.0,30.1,0.0
75,국립강릉원주대학교,본교,대학,대학교,국립,강원,"1,241","1,105",277,"4,723",6.8,99.2,62.0,299,22.73,88.67,97.79,58.5,"3,523,096.9","4,256.8","22,494.3",40.6,104.5
76,국립경국대학교,본교,대학,대학교,국립,경북,"1,539","1,205",292,"4,602",3.6,90.3,56.1,73,23.56,92.11,114.96,66.6,"4,396,874.1","3,787.9","24,638.4",29.1,146.5
77,국립공주대학교,본교,대학,대학교,국립,충남,"2,815","2,814",573,"12,357",9.2,100.0,59.1,307,26.71,80.0,77.56,66.6,"2,870,810.8","3,858.7","17,274.5",31.0,82.4
78,국립군산대학교,본교,대학,대학교,국립,전북,"1,723","1,356",338,"6,221",4.4,100.0,60.2,422,24.66,85.57,94.15,73.0,"3,206,940.1","3,897.3","21,904.9",24.6,102.0
79,국립금오공과대학교,본교,대학,대학교,국립,경북,"1,239","1,179",241,"4,895",5.0,99.6,67.6,30,25.34,79.54,84.27,71.0,"3,308,385.3","3,770.4","22,078.5",36.2,104.1
80,국립목포대학교,본교,대학,대학교,국립,전남,"1,484","1,412",307,"5,664",5.5,99.9,65.8,71,25.26,86.48,102.68,76.9,"3,944,312.5","3,873.2","26,807.8",23.6,101.5
81,국립목포해양대학교,본교,대학,대학교,국립,전남,692,528,127,"2,646",7.2,99.9,86.2,154,22.7,87.59,90.07,71.2,"2,540,217.2","3,409.5","24,878.8",87.2,96.9
82,국립부경대학교,본교,대학,대학교,국립,부산,"3,338","3,713",630,"15,131",8.9,99.8,56.6,"1,115",26.68,79.65,72.08,67.3,"3,128,168.7","4,046.2","19,373.2",25.0,76.6
83,국립순천대학교,본교,대학,대학교,국립,전남,"1,573","1,500",314,"6,352",5.2,99.7,59.9,261,25.68,82.8,89.43,67.5,"3,057,082.6","3,971.6","22,397.6",29.9,112.3
84,국립창원대학교,본교,대학,대학교,국립,경남,"1,742","1,715",345,"7,401",6.5,99.5,57.6,277,28.87,75.72,78.89,58.7,"3,195,467.0","3,906.3","21,502.7",26.5,89.8
85,국립창원대학교(거창캠퍼스),제2캠퍼스,대학,대학교,국립,경남,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86,국립창원대학교(남해캠퍼스),제3캠퍼스,대학,대학교,국립,경남,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87,국립한국교통대학교,본교,대학,대학교,국립,충북,"1,911","1,941",325,"7,950",6.9,99.9,65.0,113,26.32,79.27,77.38,64.2,"3,337,252.0","4,112.0","21,089.0",23.1,92.4
88,국립한국해양대학교,본교,대학,대학교,국립,부산,"1,372","1,421",282,"6,326",8.0,100.0,73.4,241,23.16,89.52,79.44,66.8,"3,038,652.8","3,721.8","25,202.3",40.6,86.4
89,국립한밭대학교,본교,대학,대학교,국립,대전,"1,901","1,893",289,"8,243",8.7,98.8,63.1,305,28.81,72.25,67.84,61.2,"3,125,179.1","4,479.5","19,066.5",16.4,77.9
90,국민대학교,본교,대학,대학교,사립,서울,"2,966","3,301",651,"14,502",11.6,99.8,68.0,"1,533",24.82,88.21,72.49,64.7,"4,033,820.8","8,376.9","17,999.4",13.5,79.4
91,국제대학교,본교,전문대학,전문대학,사립,경기,"1,155",886,81,"2,216",6.1,67.4,66.3,8,37.57,54.36,74.31,39.2,"4,444,175.0","7,251.0","12,687.5",30.8,61.9
92,국제사이버대학교,본교,대학,사이버대학(대학),사립,경기,900,937,18,"3,649",1.4,100.0,76.8,9,170.59,113.33,89.47,30.7,"2,394,278.7","2,557.2","4,259.2",0.0,3.0
93,군산간호대학교,본교,전문대학,전문대학,사립,전북,221,273,31,"1,094",5.1,100.0,83.6,0,28.52,68.89,56.36,66.3,"3,577,313.9","6,353.6","13,183.2",27.4,35.5
94,군장대학교,본교,전문대학,전문대학,사립,전북,635,606,48,"2,084",1.9,93.5,73.0,961,31.25,66.67,48.0,37.6,"3,857,179.8","5,812.7","16,098.7",26.2,64.2
95,극동대학교,본교,대학,대학교,사립,충북,900,681,109,"3,165",4.1,81.9,66.3,806,35.14,60.56,66.46,53.4,"3,861,175.6","7,921.0","12,093.6",36.0,110.0
96,글로벌사이버대학교,본교,대학,사이버대학(대학),사립,충남,"1,040",488,16,"2,457",0.9,67.6,75.8,168,229.38,84.21,114.29,47.7,"2,035,962.5","2,443.7","4,379.4",0.0,1.0
97,금강대학교,본교,대학,대학교,사립,충남,110,47,13,62,0.4,10.0,45.3,0,37.54,65.0,325.0,41.9,"8,267,165.2","6,598.0","49,411.6",274.8,690.2
98,기독간호대학교,본교,전문대학,전문대학,사립,광주,135,146,20,602,6.9,100.0,73.6,0,23.95,83.33,64.52,68.3,"3,287,898.4","5,369.2","11,117.5",6.3,58.1
99,김천대학교,본교,대학,대학교,사립,경북,634,580,100,"2,319",4.3,97.2,71.5,466,27.33,75.19,81.3,66.3,"5,381,103.1","7,159.8","13,609.5",42.0,138.3
100,김포대학교,본교,전문대학,전문대학,사립,경기,"1,085",678,62,"2,567",6.4,100.0,64.1,512,32.61,64.89,50.0,35.6,"4,169,753.3","6,819.5","11,931.3",27.3,77.6
101,김해대학교,본교,전문대학,전문대학,사립,경남,464,401,49,"1,347",4.8,87.3,81.3,156,28.69,70.0,73.13,54.9,"5,594,267.3","6,218.1","15,411.2",33.2,31.1
102,나사렛대학교,본교,대학,대학교,사립,충남,"1,171","1,049",157,"4,494",5.1,99.9,63.2,413,33.85,67.09,73.36,78.0,"4,726,358.2","7,865.2","12,446.1",23.7,85.0
103,나주대학교,본교,전문대학,전문대학,사립,전남,800,453,39,"1,605",1.1,91.1,74.5,586,42.56,52.7,53.42,42.1,"2,886,849.7","4,603.0","9,071.3",22.9,27.0
104,남부대학교,본교,대학,대학교,사립,광주,617,753,108,"2,364",5.0,99.2,71.5,240,28.06,72.97,77.7,63.4,"4,228,289.9","6,565.5","14,068.3",36.8,42.1
105,남서울대학교,본교,대학,대학교,사립,충남,"2,202","2,060",293,"8,922",7.0,100.0,64.7,"1,544",31.33,69.27,61.68,61.4,"4,230,683.3","8,356.2","13,567.5",14.6,98.0
106,남서울대학교(산업대),본교,대학,산업대학,사립,충남,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
